30 4800
0 30005
1 30005
2 30005
3 30005
4 30005
5 30005
6 30005
7 30005
8 30005
9 30005
10 30005
11 30005
12 30005
13 30005
14 30005
15 30005
16 30005
17 30005
18 30005
19 30005
20 30005
21 30005
22 30005
23 30005
24 30005
25 30005
26 30005
27 30005
28 30005
29 30005
352 353 150
354 355 1200
193 356 283
293 357 750
156 358 150
224 359 1700
166 360 200
174 361 500
174 361 500
170 362 300
166 363 250
166 363 250
364 365 1300
174 366 2600
367 189 750
368 369 200
370 371 650
370 371 650
372 373 60
374 375 500
205 376 110
205 376 110
256 377 1517
256 378 5350
379 380 373
217 381 150
382 383 475
166 384 200
166 385 200
237 386 600
237 386 600
166 387 950
364 388 850
222 389 600
237 386 650
237 386 650
237 386 650
390 391 1250
245 392 400
245 393 450
316 394 1400
193 204 350
286 395 1500
396 397 250
228 398 100
193 399 300
164 400 1200
401 402 1050
403 362 8600
156 404 150
166 405 250
382 227 950
335 406 200
407 408 310
409 410 2500
409 410 2500
411 412 150
413 414 200
193 415 225
172 416 150
379 417 373
418 419 1417
374 420 250
217 421 175
166 422 200
166 423 200
248 424 450
425 426 550
427 428 300
245 194 150
245 194 150
347 423 200
160 429 150
160 429 150
194 430 226
243 407 900
222 431 500
411 432 50
269 433 200
193 434 225
217 435 200
176 436 2300
205 276 950
154 437 200
154 437 200
154 437 200
154 437 200
154 437 200
320 438 1167
164 439 250
166 440 250
411 441 50
269 442 700
208 443 217
193 444 300
445 429 550
337 446 250
198 388 9750
166 447 250
448 449 250
243 450 400
221 451 400
221 451 400
221 451 400
221 451 400
166 452 200
166 453 250
166 453 250
166 453 250
245 454 150
245 454 150
174 455 3500
383 456 350
307 264 500
205 457 700
458 459 1000
237 460 3000
162 461 5050
170 362 300
170 362 300
170 362 300
174 462 1867
168 463 550
190 237 433
156 464 150
465 466 7050
168 451 200
166 467 350
208 468 217
469 383 350
198 470 9750
243 471 800
279 352 150
472 473 400
383 474 500
228 475 100
193 476 300
477 478 500
477 478 500
479 480 600
479 480 600
193 481 225
166 482 250
483 484 2150
174 485 575
217 486 150
217 486 150
166 487 250
166 440 200
166 440 200
172 488 150
172 488 150
489 490 1050
491 492 100
164 493 1600
370 494 1850
226 495 213
370 257 1850
370 257 1850
496 497 200
172 364 150
498 499 700
203 500 450
409 501 1836
502 254 2650
503 504 330
276 505 1700
506 507 500
174 508 2600
193 509 300
193 510 250
174 511 2600
237 512 2200
164 513 2850
273 514 300
300 515 400
164 516 1050
517 518 150
164 519 1400
520 521 700
193 522 350
249 523 250
228 524 200
525 526 2400
172 527 150
299 528 500
415 343 300
529 530 200
164 531 2400
245 252 350
156 532 100
279 533 200
217 534 150
535 536 350
535 536 350
375 537 217
208 538 275
172 539 100
540 541 700
542 543 2069
217 544 150
545 361 1400
180 546 800
180 546 800
180 546 800
472 547 450
190 548 433
549 550 900
166 422 350
551 552 200
152 409 150
152 409 150
445 553 213
245 554 450
174 555 500
203 556 800
465 557 7050
503 558 100
166 559 200
166 560 250
561 562 15300
222 563 500
222 563 500
226 564 150
176 343 838
565 446 1200
170 566 200
483 567 3000
245 568 150
256 569 680
283 570 10300
571 572 1400
174 573 2600
174 573 2600
174 574 317
162 575 250
252 576 300
465 577 6800
578 287 3000
160 286 150
160 286 150
579 580 200
448 581 150
448 581 150
174 429 598
582 583 1000
172 584 150
172 584 150
172 584 150
172 584 150
585 586 11350
517 587 1100
588 589 600
588 589 600
226 590 300
174 271 2600
591 592 400
591 592 400
465 232 6800
469 593 1400
166 583 250
166 583 250
168 594 600
174 595 598
596 597 150
304 598 500
411 599 50
600 601 400
174 602 2700
208 603 275
164 604 150
228 579 200
228 579 200
605 334 5000
286 606 305
168 607 350
166 608 200
609 610 1500
609 610 1500
332 611 300
195 612 700
174 613 2600
216 614 350
249 615 400
616 423 600
237 359 4000
237 359 4000
237 359 4000
237 359 4000
237 359 4000
237 359 4000
309 617 3450
579 256 150
166 589 200
230 618 100
166 468 200
256 619 1700
190 535 50
166 620 200
166 620 200
160 621 150
166 622 250
166 622 250
623 624 150
170 177 150
182 625 6500
193 311 300
245 626 450
375 627 2350
243 330 800
628 286 450
628 286 450
491 629 217
630 441 100
630 441 100
630 441 100
631 632 435
631 632 435
331 633 4950
174 163 3100
340 634 150
340 634 150
166 635 250
152 426 150
166 636 250
637 213 200
152 638 225
335 639 50
549 547 600
549 547 600
640 641 300
642 643 529
217 644 600
645 646 250
193 647 300
465 648 7050
226 649 200
650 651 350
279 241 240
170 652 150
193 216 300
193 653 350
286 654 150
655 656 3250
347 657 900
658 213 400
286 659 1500
276 660 6038
164 661 1050
662 663 525
662 663 525
472 664 700
472 664 700
472 664 700
166 665 250
182 426 9500
666 667 30000
174 668 2600
174 668 2600
383 669 1000
670 671 550
672 673 100
674 675 1000
237 345 650
237 345 650
245 676 250
426 677 300
222 678 250
382 197 1150
679 680 1250
681 682 600
683 684 900
347 685 167
166 686 250
687 412 700
166 262 400
198 688 2900
483 535 475
689 690 850
679 655 800
691 692 248
693 694 300
237 457 4000
695 696 150
193 697 300
228 698 75
249 699 150
249 699 150
249 699 150
700 650 1600
193 701 225
702 703 500
166 260 300
189 704 3150
159 328 700
160 705 150
190 706 50
190 706 50
347 674 200
168 707 600
616 708 750
700 709 550
374 285 550
340 710 1550
190 236 50
174 711 9900
237 712 950
245 328 400
193 602 350
172 713 150
714 715 2500
237 716 2125
217 717 150
174 718 2600
208 273 50
425 157 600
174 719 2600
352 474 100
352 474 100
243 720 700
681 721 700
681 721 700
681 721 700
174 722 1600
269 723 700
269 723 700
623 227 50
345 345 1300
345 345 1300
600 724 525
256 725 200
276 726 1150
226 727 200
166 548 200
162 728 1400
162 728 1400
166 729 200
160 730 150
411 731 50
210 732 100
210 732 100
166 733 250
172 187 150
172 187 150
156 278 100
152 251 225
375 734 2425
194 735 125
194 735 125
208 736 275
208 381 150
316 441 12800
435 737 300
435 737 300
435 737 300
331 738 11600
591 595 2750
739 740 4700
741 742 150
174 743 2600
174 744 2600
425 745 450
491 746 333
309 747 650
585 748 150
217 364 200
164 749 1800
750 751 2600
320 359 625
166 752 250
166 752 250
166 752 250
208 753 100
208 753 100
201 754 900
269 431 350
755 328 1200
609 756 11500
159 757 700
503 758 200
237 759 2200
503 504 300
760 344 20800
156 368 150
170 761 450
203 762 336
279 763 500
283 597 4150
588 639 550
448 376 150
164 764 1000
168 765 350
164 766 1200
316 460 1400
316 460 1400
256 767 200
256 768 630
769 770 300
255 771 950
591 772 2750
773 774 2500
340 166 1100
775 776 200
777 619 1650
472 778 250
182 497 150
279 779 500
780 577 350
205 781 190
588 782 145
174 342 2600
160 783 150
222 784 850
174 785 500
176 786 200
689 787 900
166 159 300
217 788 500
789 790 400
174 791 400
293 792 2000
160 597 200
465 793 9150
210 794 50
162 795 4083
382 796 300
245 797 450
693 798 1100
256 663 588
166 799 200
166 800 100
162 801 1323
269 345 400
166 802 200
375 636 200
172 516 150
174 803 250
207 804 950
193 605 250
217 805 190
382 276 153
382 276 153
806 741 9500
588 807 500
193 808 183
170 809 200
491 288 200
425 810 350
176 811 650
551 812 850
174 200 3500
162 813 7474
655 814 3400
755 815 7600
215 816 7300
166 817 250
337 518 50
156 171 150
217 818 200
386 819 12900
164 743 4475
245 820 150
249 821 6025
409 343 900
409 343 900
196 646 1217
286 822 1500
596 823 316
383 824 1000
825 826 425
208 827 75
409 828 1535
160 389 150
150 829 800
174 830 550
160 831 150
542 832 2069
302 833 60
607 834 2150
174 835 1600
166 836 200
166 836 200
425 837 250
248 635 450
150 838 800
150 838 800
150 838 800
616 839 750
164 840 1000
164 841 1050
689 842 850
217 843 250
166 844 400
193 428 350
166 845 350
312 846 600
176 847 2200
687 848 130
347 697 333
166 849 250
194 355 400
178 850 440
208 851 125
207 852 400
279 853 650
374 468 1000
174 854 1700
264 855 100
264 855 100
264 855 100
600 430 200
856 857 750
591 457 2750
585 858 1875
166 787 250
264 859 99
477 860 600
477 860 600
650 861 300
650 861 300
164 862 2050
773 863 3500
217 864 1400
307 865 450
312 866 296
867 285 400
867 285 400
596 222 166
868 869 13750
174 430 2600
201 870 10150
164 871 1050
194 872 300
194 872 300
375 401 2250
249 873 650
874 875 3800
156 824 150
307 876 750
210 877 175
637 878 200
549 879 900
217 725 175
217 725 175
264 440 75
880 712 150
472 717 625
166 881 250
245 882 400
883 550 1775
409 884 1535
222 885 1800
255 886 1800
190 887 50
166 888 250
170 889 50
256 890 1900
891 892 1533
300 893 4100
164 894 1000
160 895 150
245 896 150
702 897 600
425 486 150
898 899 397
264 900 100
245 615 150
542 901 2584
332 902 188
435 561 2400
415 156 458
415 156 458
415 156 458
415 156 458
415 156 458
415 156 458
903 904 438
582 905 200
217 906 250
174 862 800
655 907 3250
217 908 250
909 910 1500
911 912 450
166 913 250
914 834 200
243 658 450
915 655 650
279 916 150
170 531 150
591 917 575
918 192 100
309 606 550
352 919 400
469 528 500
469 528 500
164 920 1050
160 921 150
166 922 150
166 922 150
193 923 300
679 924 1250
550 925 325
245 926 450
166 927 200
390 928 1250
150 650 800
367 929 750
174 154 2600
174 154 2600
193 930 250
195 357 600
168 931 200
932 933 725
166 934 250
166 934 250
276 935 1938
153 936 200
937 938 1100
939 940 1200
616 527 600
174 941 2600
517 482 350
498 942 300
198 943 9750
156 944 200
252 945 300
245 946 450
585 869 17900
168 947 200
168 947 200
198 948 9750
198 948 9750
545 949 1400
264 221 200
620 166 600
620 166 600
277 950 120
256 951 127
256 951 127
256 951 127
952 953 161
269 954 690
269 954 690
264 955 100
756 926 300
256 233 300
237 956 1400
237 956 1400
193 957 350
217 170 200
166 958 250
166 861 200
190 959 100
469 960 700
276 961 2584
363 691 220
458 962 1000
207 829 250
600 963 800
964 681 2000
174 965 400
174 965 400
520 471 350
489 966 250
166 967 350
347 462 167
237 968 2550
255 969 950
166 879 250
271 970 250
166 971 200
347 972 8150
256 973 1000
166 486 250
176 602 1150
286 974 1500
249 233 250
249 233 250
249 233 250
856 975 2750
856 976 1175
166 977 250
166 978 250
382 979 450
269 980 850
760 615 2350
162 981 3875
347 982 350
347 982 350
347 982 350
347 982 350
983 984 800
166 985 250
425 986 550
645 337 350
645 337 350
168 316 200
166 194 250
472 987 650
988 989 400
491 990 200
314 991 214
992 993 3150
193 994 300
742 995 1050
166 962 200
205 996 300
316 997 1000
256 998 1279
999 428 250
174 1000 1867
347 1001 200
1002 1003 150
340 586 200
245 1004 450
193 714 100
706 1005 2200
226 386 250
170 1006 217
170 1006 217
170 1006 217
170 1006 217
403 335 8600
1007 1008 200
193 1009 300
264 1010 75
264 1010 75
307 240 200
307 240 200
286 1011 1500
153 1012 200
226 1013 200
198 287 3300
1014 1015 400
1016 1017 5450
245 834 100
256 1018 600
400 1019 200
337 1020 275
337 1020 275
166 1021 300
217 748 175
217 748 175
162 1022 4025
166 1023 450
1024 1025 250
208 1026 225
166 1027 250
279 178 600
491 213 125
655 781 50
307 612 750
193 1028 150
174 1029 1867
585 1030 2550
347 974 200
598 1031 2775
307 341 22800
307 341 22800
616 607 600
190 1032 50
445 1033 300
1034 935 300
551 361 3270
1035 336 250
693 1036 400
166 1037 250
174 310 2600
342 1038 100
1039 1040 1550
160 862 200
190 1041 50
549 1042 850
750 934 7600
164 1043 1500
477 464 700
472 1044 550
166 1045 400
1046 1047 4259
304 349 1000
549 1048 950
435 321 225
237 1049 750
193 163 225
591 385 517
683 221 1100
683 221 1100
1050 735 200
1050 735 200
193 1051 300
150 876 400
264 946 100
237 311 1650
237 311 1650
243 460 550
243 460 550
217 1052 175
168 963 100
166 734 350
237 892 650
237 892 650
237 892 650
413 1053 100
1054 795 2600
279 1055 575
316 984 2010
316 984 2010
868 842 9350
403 774 5900
347 260 1177
605 696 5000
217 826 200
174 1056 2600
540 1003 20850
540 1003 20850
242 1057 500
600 531 950
217 1058 150
1059 1060 300
293 524 600
226 1061 300
237 1062 850
166 1063 300
237 407 10050
174 1064 3500
156 251 150
687 1065 500
193 481 300
166 1066 250
152 1067 150
166 1068 300
465 386 4900
166 1069 350
174 1070 2600
193 784 350
184 837 9000
425 315 550
215 371 7300
237 1071 6500
164 1072 1200
255 430 950
300 1073 400
208 1074 100
1075 1076 3900
1075 1076 3900
1075 1076 3900
1075 1076 3900
193 460 350
226 293 200
217 1077 150
1002 1078 400
1002 1078 400
600 1079 350
184 1080 4233
184 1080 4233
205 544 125
164 1081 1600
164 1082 4475
217 1083 175
226 414 213
237 1084 700
307 428 500
174 1085 1800
1086 1087 1100
176 1088 400
309 1089 2000
309 1089 2000
193 1090 350
166 1091 250
180 1092 1350
230 932 225
222 749 3000
216 1093 325
1094 192 500
230 1095 100
166 1096 200
309 1097 500
164 1098 1200
222 524 500
166 655 250
162 772 12100
1099 1100 225
190 1101 50
168 1102 800
226 897 213
172 1103 264
248 1104 500
600 1105 800
217 1106 150
166 441 150
166 1107 250
166 1107 250
166 1107 250
190 1108 50
150 1109 400
279 716 650
347 1110 275
690 1111 6300
370 1112 350
370 1112 350
670 716 550
166 722 250
193 677 275
172 1113 150
172 1113 150
172 1113 150
172 1113 150
172 1113 150
172 1113 150
170 1114 250
217 1115 200
237 1116 4000
550 719 850
174 642 550
174 642 550
180 1117 900
345 1118 5250
166 556 350
565 189 380
1119 1120 200
1119 1120 200
1119 1120 200
1119 1120 200
1119 1120 200
160 1121 150
160 1121 150
160 1121 150
1122 1123 100
1078 1124 325
460 1125 450
193 646 300
166 1126 250
166 497 200
174 1127 850
520 342 700
174 1128 500
176 1129 517
176 1129 517
166 1130 300
325 1131 300
166 1132 250
156 1016 150
514 1133 340
166 1134 250
248 459 1900
217 1135 300
1136 1137 6400
937 1138 5400
166 1139 200
425 667 490
489 1140 100
325 956 250
332 625 150
170 1141 313
256 1142 620
741 571 105
150 1143 800
150 1143 800
150 1143 800
517 484 317
517 484 317
166 1144 300
166 1144 300
307 1145 8350
992 1146 350
208 1147 100
164 1148 2200
237 1149 1000
237 1149 1000
166 926 250
237 342 4000
1150 1151 2000
174 648 2600
210 208 150
174 343 2600
174 772 1867
174 862 800
193 1152 300
226 1153 200
217 1154 300
382 293 255
1155 1156 400
172 811 150
172 811 150
190 157 50
992 1157 350
503 579 275
517 505 850
445 892 200
166 547 350
307 1158 500
174 1159 2600
174 1159 2600
174 1159 2600
347 452 345
419 755 6800
174 376 317
591 1160 575
335 1161 500
150 1162 550
217 867 250
307 387 5650
307 387 5650
415 524 300
176 249 2000
176 249 2000
335 1163 300
276 1164 1700
276 474 1200
276 474 1200
697 1165 150
1166 384 350
264 1167 100
279 873 500
514 397 340
1168 1169 1683
237 585 650
237 585 650
237 585 650
427 1170 200
170 1171 150
403 1172 5300
591 1173 150
1086 1174 100
226 745 200
279 1175 600
756 1176 300
286 1177 1500
279 1178 600
243 1179 400
217 241 150
271 1180 300
477 1181 300
347 438 200
193 1182 300
190 1183 50
217 1184 175
217 758 200
166 1185 250
174 1186 2600
312 1187 500
203 1188 250
166 1189 350
276 935 3783
264 355 117
164 1190 1050
1191 1192 100
711 1193 1675
737 1194 1200
182 1195 250
182 1195 250
491 1196 200
166 518 200
166 518 200
174 1197 3500
174 397 2600
174 397 2600
491 1198 150
411 1199 700
256 1200 150
401 733 1150
172 320 264
172 320 264
342 1201 300
198 470 3300
207 358 500
1202 343 1050
668 853 350
668 853 350
415 598 500
174 1203 1600
174 343 2600
174 343 2600
217 207 150
243 213 500
217 1204 150
591 1205 150
1050 1206 100
491 1207 200
205 240 200
205 240 200
588 830 525
193 241 350
637 1208 350
426 1209 1600
426 1209 1600
426 1209 1600
477 1210 500
1211 1212 1110
217 1073 200
166 1213 250
170 1214 150
1215 1216 600
164 912 2400
903 293 463
174 1217 3500
655 1218 2100
992 514 5550
174 658 900
332 1219 150
279 584 650
561 1220 6350
166 1221 200
1078 1222 665
208 1223 163
375 1224 2050
370 1225 1850
382 1226 400
164 1227 1500
760 426 10100
591 725 2850
616 570 350
166 1228 200
352 1229 100
193 1230 300
168 1231 350
1078 1232 1750
176 497 838
174 1103 2600
1233 899 15750
164 1234 1050
693 882 800
164 1235 1200
237 1073 3800
382 1236 100
166 514 250
176 1237 400
217 1238 300
271 1014 250
156 345 300
162 1239 3975
469 861 600
207 474 950
156 1240 200
170 892 250
550 724 800
342 1241 300
174 1242 800
347 731 613
256 1243 275
226 184 200
276 1244 5833
193 892 220
264 965 75
172 1245 150
245 1246 150
404 1247 1400
404 1247 1400
160 1248 418
166 1043 300
588 1249 500
193 1046 300
168 619 200
858 385 1093
585 158 3400
1054 1250 400
190 779 50
335 1187 200
203 1251 250
228 688 75
170 178 430
164 1252 850
164 1252 850
630 1253 750
166 1254 200
162 1255 3305
162 1255 3305
162 1255 3305
162 1255 3305
243 1256 300
203 1257 250
309 366 1500
679 1258 800
616 1259 600
166 1260 200
320 157 147
1233 1261 15750
293 1262 750
201 228 900
150 1263 800
255 155 850
248 1264 600
166 1265 300
166 282 250
1002 1266 200
166 1267 400
817 1268 4500
168 831 1200
472 1269 300
472 1269 300
166 1270 250
166 1271 250
166 696 250
472 725 350
176 784 1250
226 1272 76
1273 854 150
312 1274 633
176 1275 1150
217 776 200
1035 614 250
1035 614 250
332 639 100
666 1276 1400
666 1276 1400
939 547 250
939 547 250
445 762 500
248 1277 1000
409 1240 1200
237 1278 1650
174 230 750
208 980 200
588 1279 145
150 1052 800
174 1280 2600
245 1054 100
426 1281 350
166 1282 250
249 1283 150
540 1174 350
540 1174 350
540 1174 350
243 1284 800
465 1285 7050
551 362 150
337 1286 275
337 1286 275
464 570 1700
1287 1288 750
150 1289 400
711 1290 150
170 1291 400
817 906 4400
248 1292 1600
166 478 200
637 1293 350
170 1294 300
170 1295 150
245 1296 350
170 504 150
166 428 250
243 750 7300
469 978 350
340 342 850
168 860 417
1168 737 500
174 1297 3100
390 159 850
174 1298 3500
160 1299 150
404 929 800
320 972 389
600 1300 800
276 1301 625
174 328 650
276 1302 1850
276 1302 1850
222 1303 550
316 151 2000
224 1304 1700
217 879 150
1290 1305 600
312 601 538
176 653 675
477 1306 200
150 1307 800
226 1308 200
226 1308 200
166 629 200
166 1309 250
228 1310 200
245 1311 150
226 1312 200
448 1087 200
856 232 2750
307 1313 500
651 1314 700
858 1315 1093
320 1316 1500
514 1317 340
331 1318 11600
166 1106 250
166 1106 250
1076 1319 375
307 1236 500
176 1320 850
176 1320 850
286 245 1500
217 725 100
293 410 750
166 928 200
193 1321 350
210 1322 50
176 1323 2000
320 1213 2850
166 385 200
193 1324 350
312 1325 296
411 273 650
382 241 5950
228 1014 150
1290 1165 400
166 1326 250
174 1327 3500
210 1328 50
609 1329 400
609 1329 400
304 1330 300
174 1331 575
1332 1328 200
1332 1328 200
404 1091 7500
152 359 225
176 1333 1433
856 1334 1175
565 1335 6575
430 881 200
264 1025 100
205 692 300
217 1336 175
152 987 150
400 584 350
375 1309 2425
166 1337 250
483 696 353
312 1338 633
162 1339 1650
166 195 250
166 1340 200
465 1341 6800
332 1342 150
222 1285 500
279 1343 200
279 1343 200
184 1344 750
465 1345 18800
166 1209 300
166 655 200
370 1346 8050
375 993 18050
166 882 250
1347 1348 400
1347 1348 400
588 685 400
375 337 2350
425 1349 600
156 1350 150
193 665 300
208 383 175
331 331 8150
1351 963 2200
208 937 350
237 1102 1400
237 1102 1400
237 1102 1400
1202 768 750
655 1112 2100
332 1352 150
245 1353 450
222 978 500
276 1349 2584
276 1349 2584
1211 168 1110
588 311 500
172 1354 150
172 1354 150
883 334 350
331 656 4650
162 1355 200
1356 1357 8350
445 1358 250
1359 1360 2300
585 1284 473
1003 1361 600
174 583 1867
166 1362 150
477 1363 200
212 419 450
243 1364 450
243 1364 450
150 484 800
491 586 150
483 1365 2150
600 1366 800
193 926 300
512 1367 300
264 974 75
255 422 950
383 1368 1300
681 576 400
425 720 550
425 720 550
425 720 550
164 1369 1200
582 1370 200
1315 610 600
174 1371 2600
400 1372 250
279 1014 400
168 506 600
172 978 150
308 1373 10400
166 1014 250
186 1374 1050
237 1375 1400
427 1252 150
174 190 6850
588 361 200
237 1376 850
237 1376 850
237 1376 850
396 1223 600
396 1223 600
856 1032 750
252 576 300
469 1357 1735
768 990 900
642 1377 1875
642 1377 1875
172 1184 450
1378 661 300
345 1379 900
345 1379 900
345 1379 900
345 1379 900
345 1379 900
345 1379 900
193 1380 300
166 1381 200
190 1382 50
876 885 12200
332 1383 100
174 724 1867
172 947 150
174 1384 2600
174 1161 9900
217 1275 300
1385 1386 3070
1233 1046 3800
166 165 200
1086 1102 250
1387 1388 1400
300 1389 700
190 1390 50
172 308 100
166 1391 250
168 1073 150
166 1392 200
174 1393 1867
166 1394 250
174 1395 2600
1065 1220 125
217 1396 100
256 1301 540
472 1058 800
472 1058 800
1397 1398 1500
331 1399 11600
293 446 750
256 378 5350
681 1400 500
255 899 3680
426 1189 1550
226 610 200
817 553 4500
205 1401 800
331 1402 14100
364 1403 2550
217 1404 200
208 1405 150
174 1406 400
174 1406 400
637 1407 300
237 1408 8500
243 1409 650
174 727 2600
174 727 2600
166 1410 200
545 1017 800
264 343 100
578 402 133
1411 1294 1850
1411 1294 1850
190 912 50
237 285 950
404 1412 2555
404 1412 2555
279 259 600
750 1068 1600
1413 1414 150
867 1415 400
174 1416 2600
174 1416 2600
162 1417 200
162 1417 200
174 253 2500
312 1418 538
178 1360 468
1191 1419 2200
693 421 650
193 1420 225
226 387 250
170 504 300
150 1003 800
226 1421 200
245 1285 150
364 795 950
174 1422 1867
164 1423 1050
517 1424 300
491 1425 99
243 798 310
400 1426 1000
347 462 2100
390 811 1250
217 1427 200
166 1267 250
390 729 850
193 837 350
152 1428 100
166 1212 250
255 1429 1300
425 760 550
347 1430 400
276 242 2584
425 334 236
256 1431 127
176 245 3900
208 763 150
166 460 400
416 569 2000
347 1432 400
1433 1073 350
491 1155 150
174 865 800
491 1434 150
425 339 490
166 929 200
166 929 200
168 289 275
585 1435 8525
1436 1234 14650
164 1414 1050
679 331 1250
1035 1433 250
243 605 517
924 1437 667
382 241 450
174 405 2600
347 1438 200
609 1439 5675
370 1440 3850
264 723 100
174 1441 2600
174 1441 2600
166 1442 250
491 204 125
491 204 125
1443 1444 550
347 1110 100
347 1110 100
491 1127 100
248 1445 1300
472 807 568
249 311 200
174 1214 500
370 1446 1850
174 1447 11600
316 447 3200
332 812 100
203 267 800
551 1448 450
551 1448 450
655 471 700
655 471 700
217 577 150
255 414 1800
293 792 600
520 1189 700
164 1449 1400
230 1450 300
160 1451 150
269 1452 300
293 1173 750
203 1385 150
203 1385 150
742 426 650
210 308 50
304 448 2100
304 448 2100
269 1453 300
164 172 1600
331 806 11600
1155 1454 350
217 1063 150
375 502 2425
370 1455 4775
630 749 367
245 1456 250
166 1152 350
382 1349 1200
174 580 1600
320 1457 284
320 1457 284
320 1457 284
193 1458 350
162 1459 1400
1136 1036 710
1003 1460 250
316 299 10100
345 634 700
172 1297 100
256 1461 650
226 1462 200
403 1463 10825
276 772 1850
276 772 1850
166 730 200
245 1464 250
256 1465 620
156 1075 150
491 1106 150
166 430 300
193 1466 300
166 1467 300
217 1200 150
312 748 250
911 1468 185
166 190 200
156 1469 200
172 1470 150
400 946 1000
347 1336 200
174 1471 2600
222 433 1800
190 785 50
243 1472 650
609 549 17050
168 1473 400
166 1053 200
858 1474 1093
483 743 650
1299 1475 1000
174 917 2600
166 546 250
176 1476 838
166 1477 250
472 1268 550
352 385 150
579 1478 150
174 792 2600
174 792 2600
166 1479 400
166 1212 250
208 1480 75
300 1481 1400
300 1481 1400
300 1481 1400
503 570 200
503 570 200
307 1088 900
237 1482 1400
166 608 250
164 514 1500
208 1278 150
176 1483 1100
517 1484 150
591 1485 150
1486 772 150
1486 772 150
174 1056 900
691 1487 248
162 1488 1400
205 1489 700
271 438 150
525 1490 550
655 1491 2100
164 1492 1600
491 951 150
345 583 900
404 875 1400
382 836 400
312 221 633
168 1493 350
257 1494 500
174 1495 2600
174 1495 2600
166 1496 250
174 400 500
237 373 1750
1034 1497 300
256 1498 650
1499 345 400
340 1064 150
256 1500 980
172 634 283
217 1321 150
404 189 949
681 1501 300
166 1502 350
1503 1504 58
193 956 250
217 928 150
900 458 9150
382 764 450
293 874 700
340 1505 150
806 402 7700
286 1506 1500
249 1507 152
448 1508 400
918 209 100
578 594 200
264 1437 100
465 932 650
911 1491 200
276 1509 1850
150 1142 800
1332 1321 200
1332 1321 200
203 1510 203
546 665 1150
276 1511 6038
585 1495 11350
514 523 350
245 672 100
245 1266 200
208 1512 50
166 1022 250
489 1513 250
375 1514 2425
307 1515 800
160 1355 150
160 1355 150
425 1516 600
174 362 3500
174 362 3500
461 883 300
932 1087 9900
164 1517 1000
679 229 800
226 1518 300
588 1519 250
226 1520 250
226 1520 250
166 1521 300
279 1522 426
714 1523 2138
714 1523 2138
841 1524 8600
172 1290 150
172 1290 150
152 950 150
1443 1525 300
1443 1525 300
332 916 150
237 1526 1400
174 1527 317
630 1528 375
755 1529 10975
166 1178 250
642 1530 3300
257 1531 547
237 717 1350
1532 1533 300
230 951 100
230 951 100
1534 495 750
503 1488 250
156 1535 150
217 1536 200
166 1097 250
445 1537 650
176 880 750
1191 1538 2200
600 1539 200
166 382 350
166 382 350
166 840 200
174 1213 2600
337 371 150
337 371 150
276 1540 1580
256 576 950
256 1541 7300
237 1542 2200
314 1543 483
314 1543 483
174 430 2600
164 1544 1050
166 1545 250
668 1546 450
842 205 650
193 371 300
164 1547 1200
1332 493 250
174 1435 2600
